id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jarrett;Bosco;Alena36@hotmail.com;hmph huzzah;2025-06-03T05:26:33;112;20540
2;Carlos;Thompson;Kennith.Koelpin@gmail.com;gloat;2025-06-02T11:22:59;6237;11467
3;Alyce;Carter;Kasandra.Kovacek@yahoo.com;cruelly;2025-06-03T03:14:31;30442;6437
4;Paige;Nader;Bailey94@yahoo.com;sympathetically ew contractor;2025-06-02T18:25:37;12337;28706
5;Fredy;Beier;Abigale95@yahoo.com;down hmph;2025-06-03T01:56:17;12407;5977
6;Derick;O'Keefe;Abby84@gmail.com;section;2025-06-02T20:20:27;10288;19342
7;Gianni;Pollich;Abbey.Weimann-Homenick62@gmail.com;stunning;2025-06-03T02:59:39;6958;7895
8;Valentin;Grady-Yundt;Zechariah.Gerhold@yahoo.com;relative neatly;2025-06-02T13:42:45;25811;30527
9;Lily;Beier;Dandre.McLaughlin@yahoo.com;toward;2025-06-02T23:51:06;12258;10648
10;Ryann;Smitham;Jeramie23@hotmail.com;furthermore matter ew;2025-06-02T21:24:46;397;28085
